groupId,name,id,urlkey
1174738,"Small Business",389,"smallbiz"
1174738,"PHP",455,"php"
1174738,"Open Source",563,"opensource"
1174738,"Web Design",659,"webdesign"
1174738,"E-Business Owners",1330,"ebizowners"
1174738,"Software Development",3833,"softwaredev"
1174738,"WordPress",8304,"wordpress"
1174738,"Internet Professionals",10102,"internetpro"
1174738,"Web Development",15582,"web-development"
1174738,"Online Marketing",15585,"online-marketing"
1174738,"Women Small Business Owners",23633,"women-small-business-owners"
1174738,"CMS (Content Management Systems)",28990,"cms"
1174738,"Minority small business owners",134717,"minority-small-business-owners"
14080012,"Open Source",563,"opensource"
14080012,"Web Design",659,"webdesign"
14080012,"Software Development",3833,"softwaredev"
14080012,"New Technology",9696,"newtech"
14080012,"Web Technology",10209,"web"
14080012,"Computer programming",48471,"computer-programming"
14080012,"Music Technology",61313,"music-technology"
19103758,"Sports Fan",83,"sportsfans"
19103758,"Sports Business",9859,"sportsbiz"
19103758,"Entertainment",15761,"entertainment"
19103758,"Big Data",18062,"big-data"
19103758,"Gaming",18071,"gaming"
19103758,"Virtual Reality",26062,"virtual-reality"
19103758,"Fantasy Sports",27642,"fantasy-sports"
19103758,"Data Analytics",30928,"data-analytics"
19103758,"Sports Marketing and Media",95515,"sports-marketing-and-media"
19103758,"Apps",114656,"apps"
19103758,"Sports Technology",163062,"sports-technology"
19103758,"eSports",377691,"esports"
19103758,"Wearable Technologies",454182,"wearable-technologies"
19103758,"hackathons",1022382,"hackathons"
18960403,"Angels",7477,"angels"
18960403,"Professional Networking",15720,"professional-networking"
18960403,"Small Business Marketing Strategy",17325,"small-business-marketing-strategy"
18960403,"Business Strategy",17635,"business-strategy"
18960403,"Best Practices",19297,"best-practices"
18960403,"Entrepreneurship",19882,"entrepreneurship"
18960403,"Entrepreneur Networking",20060,"business-entrepreneur-networking"
18960403,"Startup Businesses",21681,"startup-businesses"
18960403,"Data Analytics",30928,"data-analytics"
18960403,"Seed Funding",62649,"seed-funding"
18960403,"Software & Services",66340,"software-services"
18960403,"VC Funding",99211,"vc-funding"
10524692,"Linux",188,"linux"
10524692,"System Administration",2109,"sysadmin"
10524692,"EC2",15166,"ec2"
10524692,"Cloud Computing",15167,"cloud-computing"
10524692,"Virtualization",20479,"virtualization"
10524692,"IT Infrastructure",20480,"it-infrastructure"
10524692,"PaaS (Platform as a Service)",31197,"paas"
10524692,"DevOps",87614,"devops"
10524692,"OpenStack",142180,"openstack"
10524692,"Puppet",148303,"puppet"
10524692,"Web Operations",230341,"web-operations"
10524692,"Go (Programming Language)",336801,"go-programming-language"
10524692,"Golang",336811,"golang"
10524692,"Opscode Chef",431622,"opscode-chef"
10524692,"Cloud Infrastructure",793352,"cloud-infrastructure"
10524692,"Docker",1454542,"docker"
18960410,"Business Intelligence",10538,"businessintell"
18960410,"Hadoop",18060,"hadoop"
18960410,"Big Data",18062,"big-data"
18960410,"MapReduce",27591,"mapreduce"
18960410,"NoSQL",58162,"nosql"
18960410,"HBase",61680,"hbase"
18960410,"HDFS",61682,"hdfs"
18960410,"Data Science",102811,"data-science"
18960410,"Using Hadoop in the cloud",140255,"using-hadoop-in-the-cloud"
18960410,"Pig and Hadoop",149893,"pig-and-hadoop"
18960410,"Big Data Analytics",383411,"big-data-analytics"
18960410,"What's new with BIG DATA?",601702,"whats-new-with-big-data"
18960410,"Apache Hive",1116062,"apache-hive"
3182622,"Open Source",563,"opensource"
3182622,"Programming Languages",17628,"programming-languages"
3182622,"Data Analytics",30928,"data-analytics"
3182622,"R Project for Statistical Computing",98380,"r-project-for-statistical-computing"
3182622,"Applied Statistics",115913,"applied-statistics"
930480,"Java",189,"java"
930480,"Open Source",563,"opensource"
930480,"Enterprise Architecture",3354,"entarchitecture"
930480,"Web Technology",10209,"web"
7794722,"Open Source",563,"opensource"
7794722,"Software Development",3833,"softwaredev"
7794722,"Big Data",18062,"big-data"
7794722,"Machine Learning",29971,"machine-learning"
7794722,"Data Analytics",30928,"data-analytics"
7794722,"Data Mining",55324,"data-mining"
7794722,"Big Data Analytics",383411,"big-data-analytics"
7794722,"data engineering",1509449,"data-engineering"
1819654,"Cloud Computing",15167,"cloud-computing"
1819654,"Hadoop",18060,"hadoop"
1819654,"Virtualization",20479,"virtualization"
1819654,"IT Infrastructure",20480,"it-infrastructure"
1819654,"Clojure",29661,"clojure"
1819654,"PaaS (Platform as a Service)",31197,"paas"
1819654,"SaaS (Software as a Service)",33089,"saas-software-as-a-service"
1819654,"IaaS (Infrastructure as a Service)",107633,"iaas-infrastructure-as-a-service"
1819654,"Infrastructure as Code",126177,"infrastructure-as-code"
7921702,"Open Source",563,"opensource"
7921702,"Data Management",10494,"datamanagement"
7921702,"Cloud Computing",15167,"cloud-computing"
7921702,"Hadoop",18060,"hadoop"
7921702,"Big Data",18062,"big-data"
7921702,"MapReduce",27591,"mapreduce"
7921702,"Machine Learning",29971,"machine-learning"
7921702,"Data Analytics",30928,"data-analytics"
7921702,"Predictive Analytics",38458,"predictive-analytics"
7921702,"Data Mining",55324,"data-mining"
7921702,"R Project for Statistical Computing",98380,"r-project-for-statistical-computing"
7921702,"Data Science",102811,"data-science"
9226282,"Python",1064,"python"
9226282,"Software Development",3833,"softwaredev"
9226282,"Big Data",18062,"big-data"
9226282,"MapReduce",27591,"mapreduce"
9226282,"Machine Learning",29971,"machine-learning"
9226282,"Data Analytics",30928,"data-analytics"
9226282,"Data Visualization",37381,"data-visualization"
9226282,"Data Mining",55324,"data-mining"
9226282,"Open Data",60043,"open-data"
9226282,"Real Time Analytics",87938,"real-time-analytics"
9226282,"Data Science",102811,"data-science"
9226282,"Data Journalism",118765,"data-journalism"
9226282,"Big Data Analytics",383411,"big-data-analytics"
9226282,"Data",480642,"data"
9226282,"Data Scientist",1440132,"data-scientist"
17322032,"Women in Technology",10296,"witi"
17322032,"Software Engineering",16325,"software-engineering"
17322032,"Hadoop",18060,"hadoop"
17322032,"Big Data",18062,"big-data"
17322032,"Professional Women",26273,"professional-women"
17322032,"MapReduce",27591,"mapreduce"
17322032,"Machine Learning",29971,"machine-learning"
17322032,"Data Analytics",30928,"data-analytics"
17322032,"Predictive Analytics",38458,"predictive-analytics"
17322032,"Data Mining",55324,"data-mining"
17322032,"NoSQL",58162,"nosql"
17322032,"Data Science",102811,"data-science"
17322032,"Big Data Analytics",383411,"big-data-analytics"
17322032,"Female Engineers",815792,"female-engineers"
20174897,"Data Management",10494,"datamanagement"
20174897,"Big Data",18062,"big-data"
20174897,"Data Warehouses",30927,"data-warehouses"
20174897,"Big Data Analytics",383411,"big-data-analytics"
20174897,"Data Warehousing",393271,"data-warehousing"
20174897,"AWS Redshift",1503929,"aws-redshift"
19875891,"Data Analytics",30928,"data-analytics"
1818677,"PHP",455,"php"
1818677,"Open Source",563,"opensource"
1818677,"Ruby",1040,"ruby"
1818677,"Python",1064,"python"
1818677,"Software Development",3833,"softwaredev"
1818677,"JavaScript",7029,"javascript"
1818677,"Technology",10579,"technology"
1818677,"Web Development",15582,"web-development"
1818677,"Android Development",20346,"android-developers"
1818677,"Hacking",21123,"hacking"
1818677,"Mobile Development",21441,"mobile-development"
1818677,"Computer programming",48471,"computer-programming"
1818677,"iOS Development",127567,"ios-development"
20176951,"Open Source",563,"opensource"
20176951,"Database Professionals",1245,"databasepro"
20176951,"GIS",4346,"gis"
20176951,"New Technology",9696,"newtech"
20176951,"Database Development",21506,"database-development"
20176951,"Database Design & Development",28205,"database-design-development"
20176951,"Database Integration & Migrations",28208,"database-integration-migrations"
20176951,"NoSQL",58162,"nosql"
20176951,"Internet of Things",79740,"internet-of-things"
20176951,"Lua Programming",134762,"lua-programming"
1951801,"Java",189,"java"
1951801,"Big Data",18062,"big-data"
1951801,"NoSQL",58162,"nosql"
1951801,"Neo4j",179941,"neo4j"
1951801,"Graph Databases",193021,"graph-databases"
19107907,"Artificial Intelligence",456,"ai"
19107907,"Robotics",682,"robotics"
19107907,"Cloud Computing",15167,"cloud-computing"
19107907,"Big Data",18062,"big-data"
19107907,"Machine Learning",29971,"machine-learning"
19107907,"Data Analytics",30928,"data-analytics"
19107907,"Predictive Analytics",38458,"predictive-analytics"
19107907,"neural networks",39679,"neural-networks"
19107907,"Artificial Intelligence Applications",90163,"artificial-intelligence-applications"
19107907,"Machine Intelligence",98137,"machine-intelligence"
19107907,"Data Science",102811,"data-science"
19107907,"Big Data Analytics",383411,"big-data-analytics"
19107907,"Artificial Intelligence Programming",745722,"artificial-intelligence-programming"
19107907,"Deep Learning",1456952,"deep-learning"
19107907,"TensorFlow",1508160,"tensorflow"
1825462,"Database Professionals",1245,"databasepro"
1825462,"Data Management",10494,"datamanagement"
1825462,"Business Intelligence",10538,"businessintell"
1825462,"Hadoop",18060,"hadoop"
1825462,"Big Data",18062,"big-data"
1825462,"Data Warehouses",30927,"data-warehouses"
1825462,"Data Analytics",30928,"data-analytics"
1825462,"Data Visualization",37381,"data-visualization"
1825462,"Data Mining",55324,"data-mining"
1825462,"Business Analytics",98842,"business-analytics"
1825462,"Data Science",102811,"data-science"
1825462,"Data Analysis and Modeling",110935,"data-analysis-and-modeling"
1825462,"ETL",126345,"etl"
1825462,"Big Data Analytics",383411,"big-data-analytics"
12552262,"Web Standards",417,"webstandards"
12552262,"Open Source",563,"opensource"
12552262,"Software Development",3833,"softwaredev"
12552262,"JavaScript",7029,"javascript"
12552262,"Web Technology",10209,"web"
12552262,"Web Development",15582,"web-development"
12552262,"Computer programming",48471,"computer-programming"
12552262,"Server Side Javascript",79216,"server-side-javascript"
12552262,"JavaScript Frameworks",85951,"javascript-frameworks"
12552262,"Meteor",921432,"meteor"
12552262,"JavaScript Applications",964072,"javascript-applications"
12552262,"Open Source Frameworks",999172,"open-source-frameworks"
3977292,"Game Development",496,"gamedev"
3977292,"Open Source",563,"opensource"
3977292,"Game Programming",3287,"gameprog"
3977292,"Software Development",3833,"softwaredev"
3977292,"Web Technology",10209,"web"
3977292,"Technology",10579,"technology"
3977292,"Programming Languages",17628,"programming-languages"
3977292,"Game Design",19225,"game-design"
3977292,"Functional Programming",22792,"functional-programming"
3977292,"Computer programming",48471,"computer-programming"
3977292,"Lua Programming",134762,"lua-programming"
4319312,"Database Professionals",1245,"databasepro"
4319312,"Oracle",2544,"oracle"
4319312,"Data Management",10494,"datamanagement"
4319312,"Cloud Computing",15167,"cloud-computing"
4319312,"Hadoop",18060,"hadoop"
4319312,"Big Data",18062,"big-data"
4319312,"Database Development",21506,"database-development"
4319312,"Machine Learning",29971,"machine-learning"
4319312,"Data Analytics",30928,"data-analytics"
4319312,"SaaS (Software as a Service)",33089,"saas-software-as-a-service"
4319312,"Data Mining",55324,"data-mining"
4319312,"NoSQL",58162,"nosql"
4663992,"Big Data",18062,"big-data"
4663992,"Machine Learning",29971,"machine-learning"
4663992,"Data Analytics",30928,"data-analytics"
4663992,"Data Visualization",37381,"data-visualization"
4663992,"Predictive Analytics",38458,"predictive-analytics"
4663992,"Data Mining",55324,"data-mining"
4663992,"Data Science",102811,"data-science"
4663992,"Big Data Analytics",383411,"big-data-analytics"
19054680,"Marketing",1238,"marketing"
19054680,"Software Development",3833,"softwaredev"
19054680,"Technology",10579,"technology"
19054680,"Web Development",15582,"web-development"
19054680,"Online Marketing",15585,"online-marketing"
19054680,"Small Business Marketing Strategy",17325,"small-business-marketing-strategy"
19054680,"Business Strategy",17635,"business-strategy"
19054680,"Social Media Marketing",17742,"social-media-marketing"
19054680,"Entrepreneurship",19882,"entrepreneurship"
