id,name,city,address_1,address_2,lat,lon
10003022,"Rackspace","San Francisco","Suite 100, 620 Folsom Street",,37.785149,-122.397446
10003022,"Rackspace","San Francisco","Suite 100, 620 Folsom Street",,37.78515,-122.397446
10018432,"Cloudera","94104","433 California St, 11th floor",,37.792686,-122.401665
10058162,"Rackspace","San Francisco","620 Folsom St.",,37.785271,-122.397583
1005961,"Adobe SF Offices","San Francisco","601 Townsend",,37.771798,-122.401687
10078752,"Soma Central","San Francisco","One Market Plaza",,37.794193,-122.395218
10108612,"Salesforce.com","San Francisco","50 Fremont",,37.790604,-122.397125
10127182,"Twitter Headquarters","San Francisco","1355 Market Street, Suite 900",,37.776806,-122.416924
1013058,"Gold Club","San Francisco","650 Howard Street",,37.785777,-122.399511
1013067,"RICKHOUSE","San Francisco","246 Kearny St",,37.790539,-122.403605
10204862,"Connections SF","San Francisco","424 Clay Street (Lower Level)",,37.774929,-122.419418
10205602,"Microsoft Corporation","San Francisco","835 Market Street",,37.785023,-122.406509
10206332,"Jive Software SF","San Francisco","501 Second Street, Suite 410",,37.783031,-122.39344
1027849,"Intercontinental Hotel","San Francisco","888 HOWARD STREET ",,37.781761,-122.404628
10287862,"MOSCONE CENTER","San Francisco","800 Howard St ",,37.783195,-122.403442
10346982,"Groupon","Palo Alto","3101 Park Blvd.",,37.425167,-122.13623
10364522,"Hacker Dojo","Mountain View","599 Fairchild Drive",,37.402935,-122.04985
1039068,"Autodesk Gallery ","San Francisco","One Market Street, 2nd Floor",,37.794057,-122.395112
10397972,"OpenDNS HQ","San Francisco","145 Bluxome st (one block from the CalTrain station)",,37.774929,-122.419418
1043460,"Hacker Dojo (The Old Dojo)","Mountain View","140 S Whisman Road",,37.387115,-122.063711
10437692,"The New Parkway Theater","Oakland","474 24th Street",,37.813953,-122.267456
10490392,"990 Biscayne Blvd.","Miami","5th Floor",,25.763702,-80.243706
10498052,"B. Mori & Co. ","San Francisco","450 9th St",,37.771812,-122.409286
1051359,"TechLiminal ","Oakland","268 14th Street",,37.802774,-122.26695
10537812,"Horizon Lounge","San Francisco","498 Broadway St",,37.798168,-122.405197
